2022-07-16 17:56:49.558493|INFO    |VirtualServerBase|1  |listening on 0.0.0.0:9987, [::]:9987
2022-07-16 17:56:49.559490|WARNING |VirtualServer |1  |--------------------------------------------------------
2022-07-16 17:56:49.559490|WARNING |VirtualServer |1  |ServerAdmin privilege key created, please use the line below
2022-07-16 17:56:49.559490|WARNING |VirtualServer |1  |token=fIJb2QOxcMAPg+648awNmRRxyvba7cpacMhAd2rR
2022-07-16 17:56:49.559490|WARNING |VirtualServer |1  |--------------------------------------------------------
2022-07-16 17:58:29.026608|INFO    |VirtualServer |1  |client '_HUBE_'(id:3) was added to servergroup 'Server Admin'(id:6) by client 'server'(id:0)
2022-07-16 17:58:29.027606|INFO    |VirtualServer |1  |client '_HUBE_'(id:3) used privilege key 'fIJb2QOxcMAPg+648awNmRRxyvba7cpacMhAd2rR' and was added to servergroup 'Server Admin'(id:6)
2022-07-16 17:58:57.177209|INFO    |VirtualServer |1  |client '_HUBE_'(id:3) added privilege key for servergroup 'Server Admin'(id:6)
2022-07-16 17:59:09.679812|INFO    |VirtualServer |1  |client '_HUBE_'(id:3) added privilege key for servergroup 'Server Admin'(id:6)
2022-07-16 17:59:20.964807|INFO    |VirtualServer |1  |client '_HUBE_'(id:3) added privilege key for servergroup 'Server Admin'(id:6)
2022-07-16 18:18:14.925073|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:582334931, negated:0, skipchannel:0) was added by '_HUBE_'(id:3) to servergroup 'Server Admin'(id:6)
2022-07-16 18:18:33.773180|INFO    |VirtualServer |1  |servergroup 'Server Admin'(id:6) was renamed to 'Main Server Admin' by '_HUBE_'(id:3)
2022-07-16 18:18:41.861054|INFO    |VirtualServer |1  |servergroup 'Main Server Admin'(id:6) was copied by '_HUBE_'(id:3) to ' Server Admin'(id:9)
2022-07-16 18:18:57.055673|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-1527968303, negated:0, skipchannel:0) was added by '_HUBE_'(id:3) to servergroup ' Server Admin'(id:9)
2022-07-16 18:19:44.852182|INFO    |VirtualServer |1  |permission 'i_channel_delete_power'(id:132) with values (value:60, negated:0, skipchannel:0) was added by '_HUBE_'(id:3) to servergroup ' Server Admin'(id:9)
2022-07-16 18:20:07.377527|INFO    |VirtualServer |1  |servergroup 'Normal'(id:7) was deleted by '_HUBE_'(id:3)
2022-07-16 18:20:55.969462|INFO    |VirtualServer |1  |permission 'b_channel_create_with_needed_talk_power'(id:104) was deleted by '_HUBE_'(id:3) from servergroup 'Guest'(id:8)
2022-07-16 18:20:55.969462|INFO    |VirtualServer |1  |permission 'i_channel_max_depth'(id:83) was deleted by '_HUBE_'(id:3) from servergroup 'Guest'(id:8)
2022-07-16 18:20:55.970458|INFO    |VirtualServer |1  |permission 'b_channel_create_temporary'(id:91) was deleted by '_HUBE_'(id:3) from servergroup 'Guest'(id:8)
2022-07-16 18:20:55.970458|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_opusvoice'(id:96) was deleted by '_HUBE_'(id:3) from servergroup 'Guest'(id:8)
2022-07-16 18:20:55.971455|INFO    |VirtualServer |1  |permission 'b_channel_create_with_topic'(id:92) was deleted by '_HUBE_'(id:3) from servergroup 'Guest'(id:8)
2022-07-16 18:20:55.971455|INFO    |VirtualServer |1  |permission 'i_channel_create_modify_with_codec_latency_factor_min'(id:99) was deleted by '_HUBE_'(id:3) from servergroup 'Guest'(id:8)
2022-07-16 18:20:55.971455|INFO    |VirtualServer |1  |permission 'i_channel_create_modify_with_codec_maxquality'(id:98) was deleted by '_HUBE_'(id:3) from servergroup 'Guest'(id:8)
2022-07-16 18:20:55.972452|INFO    |VirtualServer |1  |permission 'b_channel_create_with_password'(id:94) was deleted by '_HUBE_'(id:3) from servergroup 'Guest'(id:8)
2022-07-16 18:20:55.972452|INFO    |VirtualServer |1  |permission 'b_channel_create_with_maxclients'(id:100) was deleted by '_HUBE_'(id:3) from servergroup 'Guest'(id:8)
2022-07-16 18:24:29.502437|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_channel_join_permanent'(id:32902) with values (value:75, negated:0, skipchannel:0) was added by '_HUBE_'(id:3) to servergroup 'Guest'(id:8)
2022-07-16 18:26:27.738670|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_channel_join_permanent'(id:32902) with values (value:15, negated:0, skipchannel:0) was added by '_HUBE_'(id:3) to servergroup 'Guest'(id:8)
2022-07-16 18:26:32.887660|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_channel_join_semi_permanent'(id:32903) with values (value:0, negated:0, skipchannel:0) was added by '_HUBE_'(id:3) to servergroup 'Guest'(id:8)
2022-07-16 18:26:35.657598|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_channel_join_temporary'(id:32904) with values (value:0, negated:0, skipchannel:0) was added by '_HUBE_'(id:3) to servergroup 'Guest'(id:8)
2022-07-16 18:27:05.475264|INFO    |VirtualServer |1  |permission 'i_client_max_avatar_filesize'(id:178) was deleted by '_HUBE_'(id:3) from servergroup 'Guest'(id:8)
2022-07-16 18:27:55.770936|INFO    |VirtualServer |1  |servergroup 'PLAYER'(id:10) was added by '_HUBE_'(id:3)
2022-07-16 18:27:55.811862|INFO    |VirtualServer |1  |permission 'i_group_auto_update_type'(id:149) with values (value:45, negated:0, skipchannel:0) was added by '_HUBE_'(id:3) to servergroup 'PLAYER'(id:10)
2022-07-16 18:27:55.811862|INFO    |VirtualServer |1  |permission 'i_client_talk_power'(id:221) with values (value:75, negated:0, skipchannel:0) was added by '_HUBE_'(id:3) to servergroup 'PLAYER'(id:10)
